timestamp,x_robot_mm,y_robot_mm,z_robot_mm,angle_deg,pixel_size,area
1772013306.0301878,630.41,-91.2,523.92,21.04,144.9,18852
1772013306.0759778,630.45,-91.18,523.92,21.04,144.9,18923
1772013306.1186447,630.53,-91.29,523.56,21.16,144.7,18834
1772013306.1616178,630.54,-91.25,523.64,21.04,144.7,18889
1772013306.2067902,630.53,-91.09,524.08,21.16,145.0,18799
1772013306.2512374,630.58,-91.23,523.62,21.16,144.7,18786
1772013306.298377,630.57,-91.19,523.71,21.12,144.8,18821
1772013306.3403573,630.55,-91.12,523.92,21.04,144.9,18838
1772013306.382719,630.57,-91.18,523.74,21.16,144.8,18860
1772013306.4258249,630.59,-91.26,523.51,21.16,144.7,18849
1772013306.4659147,630.58,-91.34,523.28,21.5,144.6,18851
1772013306.5075262,630.57,-91.39,523.12,21.5,144.5,18901
1772013306.5520403,630.52,-91.31,523.39,21.5,144.6,18869
1772013306.5980773,630.48,-91.3,523.44,21.45,144.6,18913
1772013306.6423702,630.47,-91.31,523.39,21.5,144.6,18851
1772013306.6891859,630.48,-91.32,523.44,21.45,144.6,18853
1772013306.7361023,630.49,-91.33,523.44,21.45,144.6,18836
1772013306.780491,630.52,-91.4,523.25,21.45,144.5,18893
1772013306.8276527,630.49,-91.29,523.6,21.25,144.7,18847
1772013306.8737564,630.49,-91.27,523.68,21.16,144.8,18844
1772013306.9204025,630.53,-91.36,523.44,21.45,144.6,18853
1772013306.9657495,630.53,-91.37,523.44,21.45,144.6,18851
1772013307.0089512,630.53,-91.37,523.44,21.45,144.6,18866
1772013307.0519612,630.52,-91.34,523.55,21.32,144.7,18854
1772013307.0942595,630.51,-91.32,523.6,21.25,144.7,18858
1772013307.1390338,630.42,-91.07,524.35,20.85,145.1,18874
1772013307.1802993,630.53,-91.4,523.31,21.25,144.6,18883
1772013307.218827,630.4,-91.05,524.35,20.85,145.1,18883
1772013307.2491448,630.46,-91.25,523.78,21.04,144.8,18861
1772013307.277748,630.48,-91.34,523.51,21.04,144.7,18839
1772013307.3068364,630.49,-91.37,523.41,21.64,144.6,18854
1772013307.5251253,630.23,-91.57,523.5,21.25,144.7,18745
1772013307.5597913,630.29,-91.54,523.44,21.45,144.6,18747
1772013307.5943606,630.37,-91.6,523.11,21.25,144.5,18744
1772013307.6381395,630.35,-91.37,523.68,21.16,144.8,18772
1772013307.676471,630.41,-91.43,523.39,21.16,144.6,18741
1772013307.7148142,630.42,-91.37,523.5,21.25,144.7,18741
1772013307.7502265,630.43,-91.35,523.5,21.25,144.7,18755
1772013307.7876608,630.45,-91.34,523.5,21.25,144.7,18731
1772013307.82075,630.47,-91.34,523.5,21.25,144.7,18754
1772013307.8533463,630.49,-91.33,523.5,21.25,144.7,18848
1772013307.8857672,630.46,-91.24,523.8,21.25,144.8,18864
1772013307.9228103,630.51,-91.35,523.44,21.45,144.6,18862
1772013307.9557712,630.52,-91.35,523.44,21.45,144.6,18867
1772013307.9870107,630.53,-91.35,523.44,21.45,144.6,18866
1772013308.0186954,630.53,-91.33,523.5,21.5,144.7,18844
1772013308.0511973,630.49,-91.24,523.8,21.25,144.8,18922
1772013308.083528,630.49,-91.25,523.8,21.25,144.8,18912
1772013308.114932,630.49,-91.26,523.8,21.25,144.8,18907
1772013308.1495523,630.49,-91.27,523.8,21.25,144.8,18907
1772013308.1955404,630.49,-91.28,523.78,21.04,144.8,18872
1772013308.2226973,630.5,-91.28,523.78,21.04,144.8,18905
1772013308.2514029,630.49,-91.27,523.78,21.04,144.8,18917
1772013308.3114533,630.48,-91.27,523.78,21.04,144.8,18879
1772013308.343637,630.48,-91.27,523.78,21.04,144.8,18882
1772013308.3797863,630.4,-91.08,524.39,20.56,145.1,18903
1772013308.4081829,630.46,-91.27,523.78,21.04,144.8,18905
1772013308.4354186,630.36,-91.0,524.61,20.56,145.2,18914
1772013308.4597297,630.45,-91.27,523.78,21.04,144.8,18918
1772013308.4874287,630.45,-91.28,523.78,21.04,144.8,18914
1772013308.512431,630.46,-91.28,523.78,21.04,144.8,18909
1772013308.5379581,630.43,-91.2,524.01,20.85,144.9,18911
1772013308.5631816,630.42,-91.2,524.01,20.85,144.9,18919
1772013308.593421,630.42,-91.2,524.01,20.85,144.9,18917
1772013308.626454,630.45,-91.28,523.78,21.04,144.8,18920
1772013308.6595182,630.38,-91.08,524.39,20.56,145.1,18931
